created_at,text,state,place_full_name,lat,long,class,Class_p,s_score
2020-10-30 02:32:56+00:00,twitter be having me dead 247y34aaTMi, OK,"Ardmore, OK",-97.139765,34.1745735,0,0,-0.6486
2020-10-30 00:53:49+00:00,jedediah we donaTMt all know someone who has died from covid 19 i donaTMt even know anyone who has tested positive for it i feel for those who have died but here in texas we donaTMt have the same rate as you all in new york city try to remember you have a wide audience, OK,"Calera, OK",-96.423117,33.9387735,0,2,-0.3182
2020-10-29 15:12:03+00:00,this is dead ass kelenaxo yy, OK,"Ardmore, OK",-97.139765,34.1745735,0,0,-0.8316
2020-10-29 14:54:08+00:00,darikadouglas nahh dead assy y y, OK,"Durant, OK",-96.398038,34.014712,0,0,-0.6486
2020-10-27 17:29:32+00:00,reminder today is the final day of the msc blood drive stop by the lobby of the health sciences building before 4 after midday to save a life murray state college, OK,"Tishomingo, OK",-96.678689,34.2312565,2,3,0.2732
2020-10-27 03:07:41+00:00,went through a period of freaking out about death but really itaTMs not a big deal life just ends and you donaTMt even know it afterwards oh well, OK,"Durant, OK",-96.398038,34.014712,0,3,-0.1779
2020-10-30 23:59:07+00:00,electrifiedmeat vi she is dead, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,0,-0.6486
2020-10-30 23:45:43+00:00,watch out for downed tree limbs and downed power lines in okc metro area okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,0.0
2020-10-30 23:45:43+00:00,multiple power outages in the area in okc metro area okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,0.0
2020-10-30 23:23:51+00:00,yaTMall northside drivers always in a rush okc okcdrivers okcroads, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,1,0.0
2020-10-30 23:17:34+00:00,yofavoritevybe no power and no stop signs in the intersections by my house what the fuck, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,3,-0.5875
2020-10-30 23:17:31+00:00,i was on the side of the highway alone one time had a blowout was changing it myself a black man pulled over w his lady didnaTMt ask not one question told me i could get in the car changed my tire in 5 minutes his lady waved bye we parted loveblackmen ai, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,3,-0.25
2020-10-30 23:15:54+00:00,cont2 a tree trimming crew will come out to remove limbs causing the damage to their lines essential you do not touch the lines impacted3 the service team will come out to restore powerit is a process that will take time why it may be next week for 22, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,3,-0.25
2020-10-30 23:15:54+00:00,heres what ogande explained to me why it is taking a long time for power restoration it is essentially a 3 step process to get the power on1 an assessment team when assess the damage to lines the trees that caused the damage just had an assessor come out earlier 13, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,2,-0.7506
2020-10-30 23:06:34+00:00,okc can we talk about how no one knows how to use a 4way stop glad i grew up in a small town rn y yay, OK,"Nichols Hills, OK",-97.54349,35.547542500000006,0,3,0.4588
2020-10-30 23:05:45+00:00,accident in oklahoma on nw 150th st eb at portland ave okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,4,-0.4767
2020-10-30 23:05:44+00:00,accident in oklahomacity on nw 30th st at and pennsylvania ave okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4767
2020-10-30 23:05:44+00:00,vehicle fire reported in oklahomacity on pawnee dr at w memorial rd okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.34
2020-10-30 23:05:43+00:00,injury accident in oklahoma on s agnew avenuenb at i 40 okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.7096
2020-10-30 23:05:43+00:00,accident in oklahoma on shields boulevard nb at se 29th st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4767
2020-10-30 23:00:45+00:00,accident cleared in oklahoma on s agnew avenuenb at w reno ave okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 23:00:44+00:00,accident cleared in oklahomacity on stratford dr at nw 122nd st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 23:00:44+00:00,accident cleared in oklahoma on memorial rd at and western av okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 22:51:05+00:00,realdonaldtrump donaldjtrumpjr you said the deaths are almost nothing and going down wake up and open your eyes, OK,"Choctaw, OK",-97.25710385,35.467948,0,2,0.0
2020-10-30 22:23:09+00:00,tuneitdown huh letaTMs not forget the american revolution and the first casualty was a black man named crispus attucks, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,3,-0.4086
2020-10-30 22:15:44+00:00,injury accident in oklahoma on s agnew avenuenb at w reno ave okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.7096
2020-10-30 22:10:43+00:00,accident in tulsa on i244 eb east of cincinnati avdetroit avexit 6 traffic, OK,"Tulsa, OK",-95.9136419,36.1093915,1,4,-0.4767
2020-10-30 22:06:43+00:00,ddale8 deaths 234998 per, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,0,0.0
2020-10-30 21:52:04+00:00,did yall know that if the lights at an intersection are all out you have to stop and treat it like a 4 way stop even if its sunny outsidey y y y y y y y y y y y y y y y y y, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,3,0.5574
2020-10-30 21:50:43+00:00,accident cleared in oklahomacity on shields boulevard nb at se 25th st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 21:35:45+00:00,accident cleared in oklahoma on nw 122nd st at and council rd okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 21:35:45+00:00,accident cleared in oklahoma on s 44th st welcome back at i35 okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,0.0772
2020-10-30 21:35:44+00:00,accident cleared on britton rd at waverly ave okctraffic, OK,"The Village, OK",-97.5581445,35.569072500000004,1,1,-0.4019
2020-10-30 21:35:44+00:00,accident cleared in oklahomacity on laird at ne 23rd st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 21:32:43+00:00,traffic itaTMs crazy right now what the fuck, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,3,-0.7096
2020-10-30 21:30:44+00:00,accident in oklahomacity on stratford dr at nw 122nd st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,4,-0.4767
2020-10-30 21:30:43+00:00,accident in oklahomacity on featherstone rd welcome back at and may ave okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.0258
2020-10-30 21:10:30+00:00,whataTMs the largest city in the us with no transit service to the airport whatsoever it might be cityofokc embarkok is 2 miles away and there is no sidewalk, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,3,-0.5267
2020-10-30 20:53:49+00:00,was trying to get over from an ending lane and this karen was so preoccupied with not letting me in that she ran into the back of the car in front of her y y y, OK,"Oklahoma City, OK",-97.552161,35.4828435,0,0,0.0
2020-10-30 20:35:44+00:00,accident in oklahoma on memorial rd at and western av okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,4,-0.4767
2020-10-30 20:35:43+00:00,accident on britton rd at waverly ave okctraffic, OK,"The Village, OK",-97.5581445,35.569072500000004,1,1,-0.4767
2020-10-30 20:35:43+00:00,accident in oklahoma on s 44th st welcome back at i35 okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.0258
2020-10-30 20:34:52+00:00,fakemarcusallen i like how slow moving it is so i can answer emails and stuff and still know whats happening, OK,"Stillwater, OK",-97.08020475,36.129688900000005,0,3,0.3612
2020-10-30 20:30:45+00:00,injury accident in oklahomacity on shields boulevard nb at se 25th st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.7096
2020-10-30 20:30:45+00:00,accident in oklahomacity on laird at ne 23rd st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4767
2020-10-30 20:30:44+00:00,accident in oklahoma on nw 122nd st at and council rd okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4767
2020-10-30 20:30:43+00:00,accident cleared in edmond on and western avenueat nw 178th st okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
2020-10-30 20:25:46+00:00,accident cleared in oklahoma on i44 welcome back at sw 29th stexit 118 okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,0.0772
2020-10-30 20:25:45+00:00,exit ramp cleared in amarillojunction on i44 eb at i40exit 120 okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,0.1027
2020-10-30 20:25:45+00:00,accident cleared in oklahoma on i40 eb at meridian avenueexit 145 stop and go traffic back to macarthur boulevardexit 144 okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.5994
2020-10-30 20:25:44+00:00,accident cleared in oklahomacity on and council rd at devore dr okctraffic, OK,"Oklahoma City, OK",-97.552161,35.4828435,1,1,-0.4019
